time,Longitude,Latitude,Altitude (m),Speed (km/h),Total Distance (km)
03:40.0,-8.942329,40.733823,131.0,4.5,-1304.539
03:41.0,-8.942322,40.733835,130.9,4.6,-1304.538
03:42.0,-8.942315,40.733846,130.8,4.6,-1304.537
03:43.0,-8.942308,40.733858,130.8,4.9,-1304.536
03:44.0,-8.942301,40.73387,130.9,4.5,-1304.534
03:45.0,-8.942294,40.733881,130.9,4.5,-1304.533
03:46.0,-8.942287,40.733893,131.0,4.8,-1304.532
03:47.0,-8.94228,40.733905,131.0,4.7,-1304.53
03:48.0,-8.942273,40.733916,131.1,4.7,-1304.529
03:49.0,-8.942265,40.733929,131.2,4.8,-1304.528
03:50.0,-8.942258,40.733941,131.2,5.0,-1304.526
03:51.0,-8.942251,40.733952,131.2,4.6,-1304.525
03:52.0,-8.942245,40.733963,131.0,4.3,-1304.524
03:53.0,-8.942238,40.733974,131.0,4.3,-1304.523
03:54.0,-8.942231,40.733985,130.9,4.5,-1304.521
03:55.0,-8.942225,40.733997,130.9,4.6,-1304.52
03:56.0,-8.942217,40.734009,131.0,4.7,-1304.519
03:57.0,-8.94221,40.734021,130.9,4.9,-1304.518
03:58.0,-8.942203,40.734033,130.8,4.8,-1304.516
03:59.0,-8.942196,40.734044,130.9,4.5,-1304.515
04:00.0,-8.94219,40.734055,130.9,4.3,-1304.514
04:01.0,-8.942187,40.734059,130.9,4.3,-1304.513
04:02.0,-8.942181,40.73407,131.3,4.3,-1304.512
04:03.0,-8.942174,40.734081,131.3,4.4,-1304.511
04:04.0,-8.942167,40.734092,131.2,4.4,-1304.51
04:05.0,-8.942161,40.734103,131.3,4.4,-1304.508
04:06.0,-8.942154,40.734115,131.2,4.7,-1304.507
04:07.0,-8.942146,40.734127,131.3,4.9,-1304.506
04:08.0,-8.942139,40.73414,131.4,5.1,-1304.504
04:09.0,-8.942132,40.734151,131.6,4.6,-1304.503
04:10.0,-8.942125,40.734163,131.5,4.6,-1304.502
04:11.0,-8.942124,40.734165,131.3,4.4,-1304.501
04:12.0,-8.942117,40.734176,130.9,4.6,-1304.5
04:13.0,-8.942109,40.734189,131.0,4.8,-1304.499
04:14.0,-8.942102,40.7342,131.0,4.8,-1304.498
04:15.0,-8.942096,40.734212,131.1,4.5,-1304.496
04:16.0,-8.942089,40.734222,131.1,4.3,-1304.495
04:17.0,-8.942083,40.734233,131.1,4.4,-1304.494
04:18.0,-8.942076,40.734244,131.1,4.4,-1304.493
04:19.0,-8.942069,40.734255,131.2,4.3,-1304.492
04:20.0,-8.942063,40.734266,131.3,4.5,-1304.49
04:21.0,-8.942048,40.734292,131.4,4.5,-1304.487
04:22.0,-8.942041,40.734303,131.5,4.7,-1304.486
04:23.0,-8.942034,40.734314,131.5,4.4,-1304.485
04:24.0,-8.942027,40.734325,131.5,4.4,-1304.484
04:25.0,-8.94202,40.734337,131.3,4.7,-1304.482
04:26.0,-8.942013,40.734349,131.1,4.8,-1304.481
04:27.0,-8.942006,40.734361,131.1,4.8,-1304.48
04:28.0,-8.941999,40.734373,131.0,4.6,-1304.478
04:29.0,-8.941992,40.734385,131.0,4.8,-1304.477
04:30.0,-8.941984,40.734397,131.1,5.0,-1304.476
04:31.0,-8.941976,40.73441,131.1,5.2,-1304.474
04:32.0,-8.941969,40.734422,130.9,4.6,-1304.473
04:33.0,-8.941962,40.734434,131.1,5.0,-1304.472
04:34.0,-8.941954,40.734447,131.1,5.0,-1304.47
04:35.0,-8.941947,40.734459,131.2,4.9,-1304.469
04:36.0,-8.941939,40.734472,131.3,5.2,-1304.467
04:37.0,-8.941932,40.734485,131.4,5.0,-1304.466
04:38.0,-8.941924,40.734497,131.5,4.9,-1304.465
04:39.0,-8.941917,40.734509,131.4,5.0,-1304.463
04:40.0,-8.941909,40.734522,131.4,5.0,-1304.462
04:41.0,-8.941902,40.734534,131.3,4.6,-1304.461
04:42.0,-8.941895,40.734545,131.4,4.6,-1304.459
04:43.0,-8.941888,40.734557,131.4,4.8,-1304.458
04:44.0,-8.941881,40.734569,131.5,4.7,-1304.457
04:45.0,-8.941874,40.73458,131.6,4.7,-1304.455
04:46.0,-8.941867,40.734592,131.5,4.7,-1304.454
04:47.0,-8.94186,40.734604,131.5,4.6,-1304.453
04:48.0,-8.941853,40.734616,131.5,4.7,-1304.452
04:49.0,-8.941847,40.734627,131.4,4.5,-1304.45
04:50.0,-8.94184,40.734638,131.5,4.6,-1304.449
04:51.0,-8.941833,40.73465,131.5,4.6,-1304.448
04:52.0,-8.941826,40.734662,131.4,4.7,-1304.446
04:53.0,-8.941819,40.734673,131.4,4.7,-1304.445
04:54.0,-8.941812,40.734684,131.5,4.4,-1304.444
04:55.0,-8.941805,40.734696,131.5,4.5,-1304.443
04:56.0,-8.941799,40.734707,131.5,4.4,-1304.441
04:57.0,-8.941792,40.734717,131.6,4.3,-1304.44
04:58.0,-8.941785,40.734729,131.5,4.5,-1304.439
04:59.0,-8.941779,40.73474,131.6,4.5,-1304.438
05:00.0,-8.941772,40.734751,131.7,4.5,-1304.436
05:01.0,-8.941767,40.734759,131.6,4.6,-1304.436
05:02.0,-8.94176,40.73477,131.2,4.6,-1304.434
05:03.0,-8.941754,40.734782,131.2,4.5,-1304.433
05:04.0,-8.941747,40.734793,131.2,4.6,-1304.432
05:05.0,-8.94174,40.734805,131.0,4.7,-1304.43
05:06.0,-8.941733,40.734816,130.9,4.4,-1304.429
05:07.0,-8.941726,40.734828,130.8,4.6,-1304.428
05:08.0,-8.941719,40.73484,130.6,4.9,-1304.427
05:09.0,-8.941711,40.734852,130.4,4.9,-1304.425
05:10.0,-8.941704,40.734865,130.5,5.0,-1304.424
05:11.0,-8.941701,40.734869,130.9,4.9,-1304.423
05:12.0,-8.941694,40.734881,131.7,4.8,-1304.422
05:13.0,-8.941686,40.734894,131.8,5.0,-1304.421
05:14.0,-8.94168,40.734905,131.8,4.6,-1304.419
05:15.0,-8.941672,40.734917,131.6,4.8,-1304.418
05:16.0,-8.941665,40.734929,131.4,4.9,-1304.417
05:17.0,-8.941657,40.734942,131.3,5.1,-1304.415
05:18.0,-8.94165,40.734954,131.2,4.8,-1304.414
05:19.0,-8.941643,40.734966,131.1,4.9,-1304.413
05:20.0,-8.941636,40.734978,131.2,4.7,-1304.411
05:21.0,-8.941625,40.734997,131.1,4.7,-1304.409
05:22.0,-8.941618,40.735007,130.6,4.3,-1304.408
05:23.0,-8.941611,40.735019,130.6,4.6,-1304.407
05:24.0,-8.941605,40.73503,130.5,4.4,-1304.406
05:25.0,-8.941598,40.735041,130.5,4.5,-1304.404
05:26.0,-8.941591,40.735053,130.6,4.6,-1304.403
05:27.0,-8.941585,40.735063,130.5,4.3,-1304.402
05:28.0,-8.941578,40.735074,130.6,4.2,-1304.401
05:29.0,-8.941572,40.735085,130.6,4.4,-1304.399
05:30.0,-8.941565,40.735097,130.5,4.6,-1304.398
05:31.0,-8.941558,40.735108,130.5,4.7,-1304.397
05:32.0,-8.94155,40.73512,130.6,4.7,-1304.396
05:33.0,-8.941543,40.735132,130.6,4.8,-1304.394
05:34.0,-8.941536,40.735144,130.7,4.7,-1304.393
05:35.0,-8.941529,40.735156,130.7,4.9,-1304.392
05:36.0,-8.941523,40.735167,130.8,4.3,-1304.39
05:37.0,-8.941516,40.735178,131.0,4.4,-1304.389
05:38.0,-8.941509,40.735189,131.0,4.3,-1304.388
05:39.0,-8.941502,40.7352,130.9,4.6,-1304.387
05:40.0,-8.941496,40.735212,131.0,4.5,-1304.385
05:41.0,-8.941489,40.735223,130.9,4.6,-1304.384
05:42.0,-8.941482,40.735234,131.0,4.4,-1304.383
05:43.0,-8.941475,40.735247,131.0,5.0,-1304.381
05:44.0,-8.941467,40.735259,131.1,4.9,-1304.38
05:45.0,-8.94146,40.735271,131.1,5.0,-1304.379
05:46.0,-8.941453,40.735283,131.2,4.7,-1304.377
05:47.0,-8.941446,40.735294,131.4,4.5,-1304.376
05:48.0,-8.941439,40.735306,131.4,4.6,-1304.375
05:49.0,-8.941432,40.735318,131.5,4.7,-1304.374
05:50.0,-8.941425,40.73533,131.4,4.7,-1304.372
05:51.0,-8.941418,40.735342,131.2,4.9,-1304.371
05:52.0,-8.941411,40.735353,131.3,4.7,-1304.37
05:53.0,-8.941403,40.735365,131.2,4.8,-1304.368
05:54.0,-8.941396,40.735377,131.1,4.7,-1304.367
05:55.0,-8.94139,40.735388,131.1,4.4,-1304.366
05:56.0,-8.941383,40.735399,131.1,4.3,-1304.365
05:57.0,-8.941376,40.735411,131.0,4.7,-1304.363
05:58.0,-8.941369,40.735423,131.0,4.8,-1304.362
05:59.0,-8.941362,40.735434,131.0,4.5,-1304.361
06:00.0,-8.941355,40.735445,130.9,4.5,-1304.359
06:01.0,-8.941355,40.735445,131.0,4.5,-1304.359
06:02.0,-8.941349,40.735456,131.4,4.1,-1304.358
06:03.0,-8.941342,40.735467,131.4,4.5,-1304.357
06:04.0,-8.941335,40.735479,131.4,4.7,-1304.356
06:05.0,-8.941329,40.73549,131.5,4.5,-1304.354
06:06.0,-8.941322,40.735501,131.8,4.5,-1304.353
06:07.0,-8.941315,40.735512,131.7,4.3,-1304.352
06:08.0,-8.941309,40.735523,131.7,4.4,-1304.351
06:09.0,-8.941302,40.735535,131.5,4.8,-1304.349
06:10.0,-8.941294,40.735547,131.5,4.8,-1304.348
06:11.0,-8.941286,40.735561,131.3,4.4,-1304.347
06:12.0,-8.941279,40.735573,130.9,4.6,-1304.345
06:13.0,-8.941272,40.735584,131.1,4.4,-1304.344
06:14.0,-8.941266,40.735594,131.1,4.3,-1304.343
06:15.0,-8.941259,40.735605,131.2,4.3,-1304.342
06:16.0,-8.941253,40.735617,131.2,4.5,-1304.34
06:17.0,-8.941246,40.735628,131.4,4.4,-1304.339
06:18.0,-8.941239,40.735639,131.3,4.4,-1304.338
06:19.0,-8.941233,40.735649,131.2,4.2,-1304.337
06:20.0,-8.941227,40.73566,131.3,4.3,-1304.336
06:21.0,-8.941209,40.735689,131.4,4.8,-1304.332
06:22.0,-8.941201,40.735702,131.3,5.2,-1304.331
06:23.0,-8.941194,40.735714,131.3,4.7,-1304.33
06:24.0,-8.941187,40.735726,131.2,4.7,-1304.328
06:25.0,-8.94118,40.735737,131.2,4.6,-1304.327
06:26.0,-8.941173,40.735749,131.2,4.8,-1304.326
06:27.0,-8.941166,40.735761,131.2,4.8,-1304.324
06:28.0,-8.941159,40.735773,131.3,4.7,-1304.323
06:29.0,-8.941152,40.735784,131.5,4.4,-1304.322
06:30.0,-8.941145,40.735795,131.5,4.5,-1304.321
06:31.0,-8.941139,40.735807,131.6,4.6,-1304.319
06:32.0,-8.941132,40.735818,131.7,4.6,-1304.318
06:33.0,-8.941124,40.735831,131.8,5.0,-1304.317
06:34.0,-8.941117,40.735843,131.6,4.8,-1304.315
06:35.0,-8.94111,40.735854,131.8,4.7,-1304.314
06:36.0,-8.941103,40.735866,131.8,4.8,-1304.313
06:37.0,-8.941096,40.735878,131.7,4.8,-1304.311
06:38.0,-8.941088,40.735891,131.7,4.9,-1304.31
06:39.0,-8.941081,40.735903,131.6,5.0,-1304.309
06:40.0,-8.941074,40.735915,131.6,4.6,-1304.307
06:41.0,-8.941067,40.735926,131.6,4.5,-1304.306
06:42.0,-8.941061,40.735936,131.4,4.2,-1304.305
06:43.0,-8.941054,40.735947,131.3,4.5,-1304.304
06:44.0,-8.941048,40.735958,131.4,4.4,-1304.302
06:45.0,-8.941041,40.735969,131.3,4.3,-1304.301
06:46.0,-8.941034,40.735981,131.3,4.5,-1304.3
06:47.0,-8.941027,40.735993,131.1,4.9,-1304.299
06:48.0,-8.941019,40.736006,131.0,5.2,-1304.297
06:49.0,-8.941012,40.736018,131.0,4.8,-1304.296
06:50.0,-8.941005,40.73603,131.0,4.8,-1304.295
06:51.0,-8.940997,40.736042,131.2,4.9,-1304.293
06:52.0,-8.94099,40.736055,131.2,5.1,-1304.292
06:53.0,-8.940982,40.736067,131.2,4.9,-1304.29
06:54.0,-8.940975,40.736079,131.2,4.7,-1304.289
06:55.0,-8.940968,40.736091,131.2,4.7,-1304.288
06:56.0,-8.940962,40.736102,131.2,4.4,-1304.287
06:57.0,-8.940955,40.736113,131.1,4.5,-1304.285
06:58.0,-8.940948,40.736125,131.1,4.8,-1304.284
06:59.0,-8.940941,40.736137,131.1,4.7,-1304.283
07:00.0,-8.940934,40.736148,131.1,4.4,-1304.281
07:01.0,-8.940927,40.736159,131.1,4.4,-1304.28
07:02.0,-8.940921,40.73617,131.2,4.5,-1304.279
07:03.0,-8.940913,40.736182,131.1,4.7,-1304.278
07:04.0,-8.940906,40.736194,131.0,4.7,-1304.276
07:05.0,-8.940899,40.736205,130.9,4.8,-1304.275
07:06.0,-8.940892,40.736217,130.8,4.6,-1304.274
07:07.0,-8.940885,40.736229,130.8,4.8,-1304.272
07:08.0,-8.940878,40.736241,130.9,4.8,-1304.271
07:09.0,-8.940871,40.736253,130.9,4.6,-1304.27
07:10.0,-8.940864,40.736264,131.0,4.5,-1304.269
07:11.0,-8.94086,40.736271,131.0,4.7,-1304.268
46:18.0,-8.500019,41.471006,131.0,5.0,-1222.712
46:19.0,-8.500012,41.471018,130.9,4.8,-1222.711
46:20.0,-8.500005,41.47103,130.7,4.7,-1222.71
46:21.0,-8.499997,41.471042,130.8,4.8,-1222.708
46:22.0,-8.49999,41.471054,130.7,4.7,-1222.707
46:23.0,-8.499983,41.471066,130.7,4.7,-1222.706
46:24.0,-8.499976,41.471078,130.5,4.7,-1222.704
46:25.0,-8.499969,41.471089,130.5,4.6,-1222.703
46:26.0,-8.499962,41.471101,130.4,4.7,-1222.702
46:27.0,-8.499956,41.47111,130.5,4.7,-1222.701
46:28.0,-8.499949,41.471123,130.4,4.8,-1222.699
46:29.0,-8.499942,41.471135,130.3,4.6,-1222.698
46:30.0,-8.499935,41.471146,130.5,4.6,-1222.697
46:31.0,-8.499928,41.471158,130.6,4.5,-1222.695
46:32.0,-8.499921,41.47117,130.5,4.8,-1222.694
46:33.0,-8.499914,41.471182,130.5,4.7,-1222.693
46:34.0,-8.499907,41.471193,130.5,4.9,-1222.691
46:35.0,-8.499899,41.471206,130.7,4.9,-1222.69
46:36.0,-8.499892,41.471218,130.7,4.6,-1222.689
46:37.0,-8.499886,41.471228,130.6,4.7,-1222.688
46:38.0,-8.499877,41.471242,130.7,4.8,-1222.686
46:39.0,-8.499871,41.471253,130.8,4.6,-1222.685
46:40.0,-8.499864,41.471265,130.8,4.6,-1222.683
46:41.0,-8.499857,41.471276,130.7,4.9,-1222.682
46:42.0,-8.499849,41.471289,130.6,5.1,-1222.681
46:43.0,-8.499842,41.471302,130.6,5.0,-1222.679
46:44.0,-8.499834,41.471314,130.6,4.7,-1222.678
46:45.0,-8.499827,41.471326,130.6,4.9,-1222.677
46:46.0,-8.49982,41.471338,130.6,4.6,-1222.675
46:47.0,-8.499813,41.471349,130.7,4.7,-1222.674
46:48.0,-8.499806,41.471362,130.7,5.0,-1222.673
46:49.0,-8.499798,41.471374,130.7,4.8,-1222.671
46:50.0,-8.499791,41.471386,130.7,4.8,-1222.67
46:51.0,-8.499784,41.471398,130.6,4.6,-1222.669
46:52.0,-8.499777,41.47141,130.6,4.8,-1222.667
46:53.0,-8.49977,41.471422,130.7,4.8,-1222.666
46:54.0,-8.499762,41.471434,130.7,5.0,-1222.665
46:55.0,-8.499755,41.471445,130.6,4.7,-1222.663
46:56.0,-8.499749,41.471457,130.5,4.5,-1222.662
46:57.0,-8.499742,41.471467,130.4,4.8,-1222.661
46:58.0,-8.499735,41.47148,130.4,4.8,-1222.66
46:59.0,-8.499727,41.471492,130.4,4.7,-1222.658
47:00.0,-8.49972,41.471504,130.4,4.8,-1222.657
47:01.0,-8.499713,41.471515,130.5,4.5,-1222.656
47:02.0,-8.499706,41.471527,130.5,4.7,-1222.654
47:03.0,-8.499699,41.471539,130.5,4.9,-1222.653
47:04.0,-8.499692,41.471551,130.6,4.7,-1222.652
47:05.0,-8.499685,41.471563,130.6,4.7,-1222.65
47:06.0,-8.499678,41.471575,130.6,4.9,-1222.649
47:07.0,-8.49967,41.471587,130.6,5.1,-1222.648
47:08.0,-8.499663,41.471599,131.6,4.6,-1222.646
47:09.0,-8.499656,41.47161,131.6,4.8,-1222.645
47:10.0,-8.499649,41.471622,131.4,4.8,-1222.644
47:11.0,-8.499642,41.471634,131.4,4.9,-1222.642
47:12.0,-8.499635,41.471646,131.5,4.6,-1222.641
47:13.0,-8.499628,41.471658,131.6,4.7,-1222.64
47:14.0,-8.499621,41.47167,131.6,4.8,-1222.638
47:15.0,-8.499613,41.471682,131.7,4.6,-1222.637
47:16.0,-8.499607,41.471693,131.7,4.7,-1222.636
47:17.0,-8.4996,41.471704,131.5,4.5,-1222.635
47:18.0,-8.49959,41.47172,130.7,4.7,-1222.633
47:19.0,-8.499584,41.471732,130.7,4.7,-1222.632
47:20.0,-8.499576,41.471744,130.8,4.8,-1222.63
47:21.0,-8.499569,41.471756,130.8,4.7,-1222.629
47:22.0,-8.499562,41.471767,130.8,4.7,-1222.628
47:23.0,-8.499555,41.471779,130.8,4.9,-1222.626
47:24.0,-8.499548,41.471791,130.9,4.7,-1222.625
47:25.0,-8.499541,41.471803,130.8,4.8,-1222.624
47:26.0,-8.499534,41.471815,130.9,4.6,-1222.622
47:27.0,-8.499527,41.471826,130.9,4.9,-1222.621
47:28.0,-8.499519,41.47184,130.8,4.7,-1222.62
47:29.0,-8.499512,41.471851,130.8,4.7,-1222.618
47:30.0,-8.499505,41.471863,130.8,4.7,-1222.617
47:31.0,-8.499498,41.471875,130.9,4.7,-1222.616
47:32.0,-8.499491,41.471886,130.8,4.5,-1222.614
47:33.0,-8.499484,41.471898,131.0,4.6,-1222.613
47:34.0,-8.499477,41.471909,131.1,4.3,-1222.612
47:35.0,-8.499471,41.47192,131.1,4.8,-1222.611
47:36.0,-8.499464,41.471931,131.2,4.7,-1222.609
47:37.0,-8.499457,41.471942,131.3,4.5,-1222.608
47:38.0,-8.49945,41.471954,131.3,4.8,-1222.607
47:39.0,-8.499443,41.471966,131.2,4.6,-1222.606
47:40.0,-8.499435,41.471979,131.3,4.9,-1222.604
47:41.0,-8.499428,41.47199,131.2,4.5,-1222.603
47:42.0,-8.499422,41.472002,131.2,4.6,-1222.602
47:43.0,-8.499415,41.472013,131.2,4.7,-1222.6
47:44.0,-8.499407,41.472025,131.1,4.9,-1222.599
47:45.0,-8.4994,41.472037,131.0,4.7,-1222.598
47:46.0,-8.499393,41.472049,131.0,4.7,-1222.596
47:47.0,-8.499387,41.47206,130.9,4.5,-1222.595
47:48.0,-8.499379,41.472072,131.1,4.7,-1222.594
47:49.0,-8.499372,41.472084,131.3,4.7,-1222.593
47:50.0,-8.499365,41.472095,131.1,4.5,-1222.591
47:51.0,-8.499359,41.472106,131.2,4.5,-1222.59
47:52.0,-8.499352,41.472118,131.1,4.7,-1222.589
47:53.0,-8.499345,41.47213,131.2,4.9,-1222.587
47:54.0,-8.499337,41.472142,131.4,5.1,-1222.586
47:55.0,-8.49933,41.472155,131.4,4.8,-1222.585
47:56.0,-8.499322,41.472167,131.5,4.8,-1222.583
47:57.0,-8.499316,41.472178,131.4,4.8,-1222.582
47:58.0,-8.499308,41.472192,131.4,4.8,-1222.581
47:59.0,-8.4993,41.472204,131.5,4.7,-1222.579
48:00.0,-8.499294,41.472215,131.4,4.9,-1222.578
48:01.0,-8.499286,41.472228,131.4,4.8,-1222.577
48:02.0,-8.499279,41.472239,131.3,4.8,-1222.575
48:03.0,-8.499272,41.472251,131.1,4.6,-1222.574
48:04.0,-8.499265,41.472263,131.1,4.7,-1222.573
48:05.0,-8.499258,41.472275,131.1,4.7,-1222.571
48:06.0,-8.499251,41.472286,131.2,4.6,-1222.57
48:07.0,-8.499244,41.472297,131.4,4.8,-1222.569
48:08.0,-8.499209,41.472356,132.5,4.5,-1222.562
48:09.0,-8.499202,41.472367,132.5,4.6,-1222.561
48:10.0,-8.499195,41.472379,132.6,4.7,-1222.56
48:11.0,-8.499188,41.472391,132.5,4.5,-1222.558
48:12.0,-8.499181,41.472402,132.5,4.6,-1222.557
48:13.0,-8.499174,41.472415,132.5,4.9,-1222.556
48:14.0,-8.499167,41.472427,132.5,4.6,-1222.554
48:15.0,-8.49916,41.472438,132.5,4.9,-1222.553
48:16.0,-8.499152,41.47245,132.5,4.7,-1222.552
48:17.0,-8.499146,41.472461,132.5,4.7,-1222.551
48:18.0,-8.499165,41.47243,131.4,4.9,-1222.554
48:19.0,-8.499157,41.472442,131.3,4.9,-1222.553
48:20.0,-8.499151,41.472453,131.3,4.5,-1222.552
48:21.0,-8.499143,41.472466,131.5,5.1,-1222.55
48:22.0,-8.499136,41.472477,131.7,4.6,-1222.549
48:23.0,-8.499129,41.472489,131.7,4.9,-1222.548
48:24.0,-8.499122,41.472501,131.6,4.7,-1222.546
48:25.0,-8.499114,41.472514,131.6,4.9,-1222.545
48:26.0,-8.499107,41.472525,131.5,4.7,-1222.544
48:27.0,-8.499101,41.472536,131.5,5.0,-1222.542
48:28.0,-8.499093,41.47255,131.5,5.5,-1222.541
48:29.0,-8.499085,41.472563,131.5,5.0,-1222.539
48:30.0,-8.499077,41.472575,131.5,4.7,-1222.538
48:31.0,-8.49907,41.472587,131.5,4.8,-1222.537
48:32.0,-8.499063,41.472599,131.5,4.9,-1222.535
48:33.0,-8.499056,41.472612,131.5,5.0,-1222.534
48:34.0,-8.499048,41.472624,131.3,4.9,-1222.533
48:35.0,-8.499041,41.472635,131.3,4.7,-1222.531
48:36.0,-8.499034,41.472647,131.2,4.7,-1222.53
48:37.0,-8.499028,41.472658,131.2,4.9,-1222.529
48:38.0,-8.49902,41.472671,131.2,4.9,-1222.527
48:39.0,-8.499013,41.472683,131.3,4.7,-1222.526
48:40.0,-8.499005,41.472695,131.4,4.9,-1222.525
48:41.0,-8.498998,41.472707,131.2,4.6,-1222.523
48:42.0,-8.498991,41.472719,131.2,4.7,-1222.522
48:43.0,-8.498984,41.47273,131.1,4.8,-1222.521
48:44.0,-8.498977,41.472743,131.1,4.8,-1222.519
48:45.0,-8.49897,41.472755,131.3,5.0,-1222.518
48:46.0,-8.498962,41.472767,131.3,4.7,-1222.517
48:47.0,-8.498955,41.472779,131.5,4.9,-1222.515
48:48.0,-8.498948,41.472791,131.6,4.6,-1222.514
48:49.0,-8.498941,41.472803,131.5,4.6,-1222.513
48:50.0,-8.498934,41.472815,131.5,4.9,-1222.511
48:51.0,-8.498927,41.472826,131.7,4.8,-1222.51
48:52.0,-8.49892,41.472838,131.9,4.9,-1222.509
48:53.0,-8.498912,41.472851,131.9,5.0,-1222.507
48:54.0,-8.498905,41.472863,132.0,4.7,-1222.506
48:55.0,-8.498897,41.472875,132.1,4.9,-1222.505
48:56.0,-8.49889,41.472888,132.3,5.2,-1222.503
48:57.0,-8.498883,41.4729,132.3,4.9,-1222.502
48:58.0,-8.498875,41.472913,132.3,4.9,-1222.501
48:59.0,-8.498868,41.472924,132.2,4.7,-1222.499
49:00.0,-8.498861,41.472937,132.1,4.8,-1222.498
49:01.0,-8.498853,41.47295,132.0,5.1,-1222.496
49:02.0,-8.498845,41.472963,132.1,5.0,-1222.495
49:03.0,-8.498838,41.472975,132.2,5.0,-1222.494
49:04.0,-8.49883,41.472987,132.2,5.0,-1222.492
49:05.0,-8.498823,41.473,132.4,5.1,-1222.491
49:06.0,-8.498816,41.473011,132.4,4.8,-1222.49
49:07.0,-8.498809,41.473022,132.4,4.8,-1222.488
49:08.0,-8.498768,41.473091,132.0,4.8,-1222.481
49:09.0,-8.498761,41.473103,132.1,4.9,-1222.479
49:10.0,-8.498753,41.473116,132.1,4.9,-1222.478
49:11.0,-8.498746,41.473128,132.0,5.0,-1222.477
49:12.0,-8.498738,41.473141,132.0,5.0,-1222.475
49:13.0,-8.498731,41.473152,131.9,4.8,-1222.474
49:14.0,-8.498724,41.473165,131.9,4.8,-1222.473
49:15.0,-8.498717,41.473176,132.0,4.5,-1222.471
49:16.0,-8.498709,41.473189,132.1,4.9,-1222.47
49:17.0,-8.498702,41.4732,132.1,4.7,-1222.469
49:18.0,-8.498732,41.473151,132.7,4.6,-1222.474
49:19.0,-8.498725,41.473163,132.8,4.8,-1222.473
49:20.0,-8.498718,41.473174,132.7,4.8,-1222.471
49:21.0,-8.498711,41.473186,132.9,4.8,-1222.47
49:22.0,-8.498704,41.473198,132.8,4.9,-1222.469
49:23.0,-8.498696,41.47321,132.7,4.9,-1222.467
49:24.0,-8.498689,41.473223,132.6,4.8,-1222.466
49:25.0,-8.498682,41.473235,132.6,4.7,-1222.465
49:26.0,-8.498674,41.473247,132.6,4.8,-1222.463
49:27.0,-8.498668,41.473257,132.6,4.5,-1222.462
49:28.0,-8.49866,41.473271,132.7,5.0,-1222.461
49:29.0,-8.498653,41.473282,132.6,4.8,-1222.459
49:30.0,-8.498646,41.473295,132.4,4.9,-1222.458
49:31.0,-8.498638,41.473308,132.2,4.9,-1222.457
49:32.0,-8.498631,41.47332,132.2,5.0,-1222.455
49:33.0,-8.498623,41.473333,132.1,5.1,-1222.454
49:34.0,-8.498616,41.473345,132.0,5.0,-1222.453
49:35.0,-8.498608,41.473357,131.9,4.8,-1222.451
49:36.0,-8.498602,41.473368,132.0,4.8,-1222.45
49:37.0,-8.498595,41.473379,131.9,4.9,-1222.449
49:38.0,-8.498587,41.473392,131.8,5.0,-1222.447
49:39.0,-8.49858,41.473405,131.7,5.1,-1222.446
49:40.0,-8.498572,41.473418,131.7,5.0,-1222.444
49:41.0,-8.498564,41.473431,131.8,4.9,-1222.443
49:42.0,-8.498557,41.473443,131.8,4.9,-1222.442
49:43.0,-8.49855,41.473455,131.7,4.7,-1222.44
49:44.0,-8.498543,41.473466,131.6,4.6,-1222.439
49:45.0,-8.498536,41.473478,131.6,4.8,-1222.438
49:46.0,-8.498528,41.47349,131.6,5.0,-1222.436
49:47.0,-8.498521,41.473503,131.7,5.0,-1222.435
49:48.0,-8.498512,41.473517,131.8,5.3,-1222.433
49:49.0,-8.498505,41.473529,131.8,4.8,-1222.432
49:50.0,-8.498498,41.473541,131.9,4.7,-1222.431
49:51.0,-8.49849,41.473554,131.9,5.1,-1222.429
49:52.0,-8.498483,41.473566,132.2,5.1,-1222.428
49:53.0,-8.498476,41.473578,132.2,5.1,-1222.427
49:54.0,-8.498468,41.47359,132.0,4.8,-1222.425
49:55.0,-8.498461,41.473603,131.9,5.2,-1222.424
49:56.0,-8.498453,41.473615,132.0,4.9,-1222.423
49:57.0,-8.498446,41.473627,132.1,4.9,-1222.421
49:58.0,-8.498439,41.473639,132.0,4.5,-1222.42
49:59.0,-8.498432,41.473651,132.2,4.7,-1222.419
50:00.0,-8.498425,41.473663,132.1,4.8,-1222.417
50:01.0,-8.498418,41.473675,132.1,5.1,-1222.416
50:02.0,-8.49841,41.473687,132.0,5.1,-1222.415
50:03.0,-8.498402,41.4737,132.0,4.8,-1222.413
50:04.0,-8.498395,41.473713,132.1,5.0,-1222.412
50:05.0,-8.498387,41.473726,132.1,5.2,-1222.41
50:06.0,-8.49838,41.473738,132.1,4.9,-1222.409
50:07.0,-8.498373,41.473749,132.0,4.9,-1222.408
50:08.0,-8.498369,41.473756,131.3,4.5,-1222.407
50:09.0,-8.498361,41.473769,131.1,5.2,-1222.406
50:10.0,-8.498354,41.473781,131.1,4.9,-1222.404
50:11.0,-8.498347,41.473792,131.3,4.6,-1222.403
50:12.0,-8.49834,41.473804,131.3,4.7,-1222.402
50:13.0,-8.498333,41.473816,131.3,4.7,-1222.4
50:14.0,-8.498326,41.473828,131.2,4.7,-1222.399
50:15.0,-8.498318,41.473841,131.1,5.0,-1222.398
